,INFLUENCEURS,SUIT OMAJ,SUIVI PAR OMAJ,TYPE DE CONTENU,engagée, vide dressing, mode consciente, sport, grandes tailles,écologie,durable, podcast, mobilier, nourriture, slow, vetementdocassion, vintage , slowfashion, vintage, écolo,ecologie,  durable, fashion,secondemain, couture, économie circulaire, photographe, mode, haul, économie responsable, ecofriendly, upcycling ,slow , durable,upcycling,slow, upcycling,économie circulaire, équitable,  femme,slowfashion, vinted , looks, mode éthique , engagée, vinted,mode éthique,animatrice télé, coloré,looks, slow , zérodéchet,vintage, luxe, ecofriendly , secondemain,économie responsable, secondevie, durable , mode éthique, écologie,zérodéchet, mode ,autrice, reconditionné,mode, design,friperie
38,theimpactstory,0,1,"écologie, secondemain",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,upcy_clo,1,0,"secondemain, slow, upcycling, vintage, engagée, secondevie",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,lauvestds,0,0,"secondemain, vintage, mode éthique, reconditionné",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,_jetable,0,1,"économie responsable, engagée, slow, mode éthique, durable, ecofriendly ",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,minimal.quotidien,0,0,"écologie, économie responsable, durable, engagée, mode éthique",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,lafille_delamarquise,0,0,"upcycling, secondemain, vintage, économie responsable, mode éthique, durable, engagée",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,mademoisellemodeuse,0,1,"vintage, secondemain, économie responsable, mode éthique ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,mylittlewayoflife,1,1,"slow , écolo,  durable, économie responsable, mode éthique, secondemain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,loren_soyonselegantes,0,0,"slow , durable, mode consciente, économie responsable, mode éthique",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,emmaverdierkremer,1,0,"vintage, luxe, secondemain, upcycling, durable, économie responsable",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
